Accuracy Score,ML Model,Time_Sec
0.8231717337715694,Feat_Select_2 RFC Split Train,25.488002061843872
0.7884963023829088,Feat_Select_3 RFC Split Train,17.721113204956055
0.781441717791411,Feat_Select_1 KNN Split Test,13.889169931411743
0.781441717791411,Feat_Select_3 KNN Split Test,14.103767156600952
0.781441717791411,Feat_Select_full KNN Split Test,14.240045070648193
0.781441717791411,Feat_Select_4 KNN Split Test,13.573064088821411
0.7797863599013969,Feat_Select_my RFC Split Train,24.44241166114807
0.7795245398773006,Feat_Select_4 RFC Split Test,18.105953693389893
0.7789646672144618,Feat_Select_1 KNN Split Train,13.88916826248169
0.7789646672144618,Feat_Select_4 KNN Split Train,13.5730619430542
0.7789646672144618,Feat_Select_full KNN Split Train,14.240043878555298
0.7789646672144618,Feat_Select_3 KNN Split Train,14.103765964508057
0.776840490797546,Feat_Select_1 RFC Split Test,17.48768901824951
0.776840490797546,Feat_Select_full RFC Split Test,17.31518578529358
0.7749233128834356,Feat_Select_3 RFC Split Test,17.72111415863037
0.7737058340180772,Feat_Select_4 RFC Split Train,18.105952978134155
0.7689400164338538,Feat_Select_1 RFC Split Train,17.487687826156616
0.7689400164338538,Feat_Select_full RFC Split Train,17.315184831619263
0.7682826622843056,Feat_Select_my KNN Split Train,16.352851152420044
0.7656532456861134,Feat_Select_2 KNN Split Train,13.742555856704712
0.7561349693251533,Feat_Select_4 LogR Split Test,0.017190933227539062
0.7561349693251533,Feat_Select_1 LogR Split Test,0.018336057662963867
0.7561349693251533,Feat_Select_full LogR Split Test,0.016016244888305664
0.7561349693251533,Feat_Select_3 LogR Split Test,0.018249034881591797
0.7457682826622843,Feat_Select_1 LogR Split Train,0.016057968139648438
0.7457682826622843,Feat_Select_3 LogR Split Train,0.015878915786743164
0.7457682826622843,Feat_Select_4 LogR Split Train,0.015098810195922852
0.7457682826622843,Feat_Select_full LogR Split Train,0.013990163803100586
0.7450153374233128,Feat_Select_my RFC Split Test,24.442412853240967
0.7404141104294478,Feat_Select_2 RFC Split Test,25.48800301551819
0.7400306748466258,Feat_Select_2 LogR Split Test,0.01945972442626953
0.7384969325153374,Feat_Select_2 KNN Split Test,13.742558002471924
0.7373466257668712,Feat_Select_my LogR Split Test,0.027855873107910156
0.734100246507806,Feat_Select_2 LogR Split Train,0.017451047897338867
0.7304447852760736,Feat_Select_my KNN Split Test,16.35285210609436
0.7303204601479046,Feat_Select_my LogR Split Train,0.026208162307739258
0.27818385694321357,Feat_Select_my LinR Split Test,0.0072209835052490234
0.27727698822246627,Feat_Select_1 LinR Split Test,0.009144067764282227
0.27727698822246627,Feat_Select_full LinR Split Test,0.007554769515991211
0.27727698822246627,Feat_Select_3 LinR Split Test,0.00810384750366211
0.27727698822246627,Feat_Select_4 LinR Split Test,0.008202791213989258
0.27286827467103614,Feat_Select_2 LinR Split Test,0.00820612907409668
0.26835950623547267,Feat_Select_my LinR Split Train,0.005495786666870117
0.25797252471075105,Feat_Select_full LinR Split Train,0.005666017532348633
0.25797252471075105,Feat_Select_1 LinR Split Train,0.00691986083984375
0.25797252471075105,Feat_Select_3 LinR Split Train,0.005961894989013672
0.25797252471075094,Feat_Select_4 LinR Split Train,0.006294965744018555
0.25325240383463943,Feat_Select_2 LinR Split Train,0.006256103515625
