Accuracy Score,ML Model,Time_Sec
0.8218291630716135,Rescale RFC Split Train,27.7620210647583
0.8157587093757307,RFC Rescale Test,45.0564227104187
0.7958596894767107,Rescale RFC Split Test,27.762021780014038
0.791448090684232,Rescale Random Forest Classifier,29.14817714691162
0.78953421506613,Corr Coeff RFC Split Test,18.683267831802368
0.7867414437733679,Corr Coeff RFC Split Train,18.683266639709473
0.7855089131684876,Corr Coeff LogR Split Test,0.11874198913574219
0.7853034224906529,Corr Coeff KNN Split Train,47.83569407463074
0.7849338700402531,Corr Coeff KNN Split Test,47.83569622039795
0.7798273878020714,Corr Coeff Random Forest Classifier,21.07122302055359
0.7746504768329299,Feat Select Spend Bins,0.7476761341094971
0.7744224435538272,Feat Select Spend Orignial,0.39749670028686523
0.7727926373310325,Rescale KNN Split Train,45.60759091377258
0.7717078780908568,Rescale LogR Split Test,0.061144113540649414
0.7715472930968348,Corr Coeff Logistic Regression,0.9845268726348877
0.7690537819959735,Corr Coeff LogR Split Train,0.11697793006896973
0.7676309141171647,Corr Coeff K Nearest Neighbors,68.69875693321228
0.7654470060711877,Rescale Logistic Regression,0.6033449172973633
0.7622950819672131,Rescale LogR Split Train,0.05894899368286133
0.7457808552570665,Rescale K Nearest Neighbors,69.27491092681885
0.7452558941920644,Rescale KNN Split Test,45.60759210586548
0.7447425366718252,Feat Select Spend Rescale,0.2319498062133789
0.7119537584487388,Status Feat,0.7059600353240967
0.6641012922767615,Family Feat,0.8161969184875488
0.6640778701534986,Corr Coeff Linear Regression,0.10829401016235352
0.646864040662902,Rescale Linear Regression,0.07458686828613281
0.3716828677792101,Corr Coeff LinR Split Test,0.014700889587402344
0.34974960873385363,Corr Coeff LinR Split Train,0.012181997299194336
0.34442725901182836,Rescale LinR Split Test,0.007884025573730469
0.33289869113506454,Rescale LinR Split Train,0.006044149398803711
